phase,cell_id,utilization,exact_e0,taskset_id,relation,task_id,priority_rank,w,h,q,visited_by_complete,visited_by_local,complete_envelope,local_envelope,envelope_relation,service_value,complete_closure,local_closure,local_only_closure,predicted_interval_hit
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,5,True,True,2511/200000,2511/200000,EQUAL,52584299401200006281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,6,True,True,372000000000000001/25000000000000000000,372000000000000001/25000000000000000000,EQUAL,60362099401200012281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,7,True,True,215062500000000001/12500000000000000000,215062500000000001/12500000000000000000,EQUAL,68139899401200014281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,8,True,True,488250000000000003/25000000000000000000,488250000000000003/25000000000000000000,EQUAL,75917699401200010281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,9,True,True,136593750000000001/6250000000000000000,136593750000000001/6250000000000000000,EQUAL,83695499401200012281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,10,True,True,120900000000000001/5000000000000000000,120900000000000001/5000000000000000000,EQUAL,91473299401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,11,True,True,81229687500000001/3125000000000000000,81229687500000001/3125000000000000000,EQUAL,99251099401200020281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,12,True,True,695175000000000011/25000000000000000000,695175000000000011/25000000000000000000,EQUAL,107028899401200026281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,13,True,True,370256250000000007/12500000000000000000,370256250000000007/12500000000000000000,EQUAL,114806699401200028281/200000000000000000000,False,False,False,False
A,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,3/10,21473099401200000281/200000000000000000000,v93-cfffce69e8-t00000-3b4a9aaf332f,DEADLINE_CARRY_IN,4,4,15,0,14,True,True,1218300000000000023/40000000000000000000,1218300000000000023/40000000000000000000,EQUAL,122584499401200020281/200000000000000000000,False,False,False,False
