cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,task_id,priority_rank,left_candidate,right_candidate,reduction,normalized_reduction,status,dominance_expected
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,0,0,3,3,0,0.0,EQUAL,False
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,1,1,2,2,0,0.0,EQUAL,False
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,2,2,9,9,0,0.0,EQUAL,False
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,3,3,9,9,0,0.0,EQUAL,False
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,4,4,10,8,2,0.2,TIGHTER,False
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,5,5,16,11,5,0.3125,TIGHTER,False
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,6,6,39,30,9,0.23076923076923078,TIGHTER,False
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,7,7,24,12,12,0.5,TIGHTER,False
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,8,8,29,17,12,0.41379310344827586,TIGHTER,False
772a2c2f84ab12d492ff5f9176333c880f381bffd65215d6667fdad446897125,v93-5b7dce0b03-t00000-2292118c3dc7,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,9,9,44,30,14,0.3181818181818182,TIGHTER,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,0,0,4,4,0,0.0,EQUAL,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,1,1,3,3,0,0.0,EQUAL,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,2,2,10,10,0,0.0,EQUAL,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,3,3,10,10,0,0.0,EQUAL,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,4,4,11,9,2,0.18181818181818182,TIGHTER,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,5,5,17,12,5,0.29411764705882354,TIGHTER,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,6,6,40,31,9,0.225,TIGHTER,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,7,7,25,13,12,0.48,TIGHTER,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,8,8,30,18,12,0.4,TIGHTER,False
d0e0464ce63c9120e5a53941d79cb1b73e8844f3a0148b447b3f9919f2b633fd,v93-5b7dce0b03-t00000-2292118c3dc7,0,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,9,9,45,31,14,0.3111111111111111,TIGHTER,False
